dataset,N,D,anomaly_rate,best_auc,hidden_neurons,epochs,fit_s
vertebral,240,6,0.125,0.632698,"[64, 32]",50,0.9
autos_variant1,205,54,0.122,0.603111,"[128, 64]",50,0.1
letter,1600,32,0.0625,0.59328,"[128, 64]",50,0.7
vowels,1456,12,0.0343,0.680526,"[128, 64]",50,0.6
bands_band_6_variant1,318,62,0.0189,0.939103,"[32, 16]",50,0.1
bands_band_16_variant1,328,62,0.0488,0.746194,"[32, 16]",50,0.1
glass,214,9,0.0421,0.634146,"[128, 64]",50,0.1
annealing_variant1,798,56,0.0526,0.69561,"[32, 16]",50,0.3
bands_band_34_variant1,346,62,0.0983,0.761124,"[64, 32]",50,0.1
bands_band_27_variant1,339,62,0.0796,0.732194,"[128, 64]",50,0.1
bands_band_42_variant1,354,62,0.1186,0.748703,"[64, 32]",50,0.1
ecoli,336,9,0.0268,0.927285,"[32, 16]",50,0.2
thyroid_disease_variant1,9172,49,0.0081,0.660802,"[64, 32]",50,3.6
cardiotocography_2and3_33_variant1,1688,22,0.0195,0.91083,"[32, 16]",50,0.5
thyroid,3772,6,0.0247,0.98508,"[32, 16]",50,0.9
sonar_M_10_variant1,107,60,0.0935,0.985567,"[128, 64]",50,0.0
arrhythmia_variant1,452,345,0.146,0.7668,"[32, 16]",50,0.2
cardio,1831,21,0.0961,0.978529,"[32, 16]",50,0.5
ionosphere_b_24_variant1,249,35,0.0964,0.999259,"[128, 64]",50,0.1
hepatitis_2_9_variant1,94,32,0.0957,0.992157,"[64, 32]",50,0.1
sick_sick_72_variant1,3613,53,0.0199,0.813192,"[32, 16]",50,0.9
wine,129,13,0.0775,0.951261,"[128, 64]",50,0.1
abalone_variant1,4177,10,0.0189,0.643111,"[128, 64]",50,1.8
waveform_0_100_variant1,3443,21,0.029,0.698208,"[32, 16]",50,0.8
