stem,name,D,KFGOD_mean,KFGOD_std,Disent_mean,Disent_std,DeepSVDD_mean,DeepSVDD_std,DFNO_mean,DFNO_std,LMKAD_mean,LMKAD_std,ICL_mean,ICL_std,NeuTraLAD_mean,NeuTraLAD_std,SCMK_mean,SCMK_std
vertebral,Vertebral,6,0.3898,,0.7848146666666667,0.0256734421208636,0.5172486772486773,0.0239978443084392,0.3727,,0.655344,0.066745,0.3449,0.0601,0.6275,0.0435,0.7345,0.0919
thyroid,Thyroid,6,0.9212,,0.984786,0.0010067109813645,0.9176309393643498,0.010441928531182,0.95295,,0.985219,0.002288,0.8796,0.035,0.9785,0.0011,0.9809,0.0028
wbc_malignant_39_variant1,WBC,9,0.9967,,0.9639636666666668,0.0041337557176656,0.8637098637098637,0.0235147002560462,0.99711,,0.991953,0.003427,0.9665,0.0084,0.8077,0.0342,0.9922,0.0067
glass,Glass,9,0.7,,0.9359943333333334,0.0016481997249524,0.8752247393024092,0.0183492999959339,0.85745,,0.587918,0.069166,0.8551,0.0384,0.8752,0.012,0.8526,0.0577
ecoli,Ecoli,9,0.9263,,0.8336739999999999,0.0412785096509067,0.7609634174051352,0.0423198891648919,0.9052,,0.814133,0.110025,0.8319,0.0056,0.8655,0.0109,0.9314,0.0103
pageblocks_1_258_variant1,PageBlocks,10,0.9571,,0.9366243333333332,0.0104495073727584,0.9448120068275108,0.0187066905024172,0.97469,,0.995243,0.001278,0.9888,0.0041,0.9958,0.0009,0.9755,0.0038
wine,Wine,13,0.8874,,0.633051,0.0257186294930348,0.9480225988700566,0.0152855923824504,0.95714,,0.905085,0.010585,0.7944,0.1216,0.6395,0.0255,0.9203,0.0373
cardio,Cardio,21,0.9498,,0.7436790000000001,0.0176029040501843,0.9353243743358616,0.0160616129743047,0.91419,,0.972912,0.002552,0.896,0.0285,0.9604,0.0025,0.9689,0.0018
cardiotocography_2and3_33_variant1,Cardiotoco.,22,0.8695,,0.8036653333333333,0.0128651274899758,0.8392754632174221,0.0127464189929559,0.80948,,0.872705,0.014352,0.7515,0.1016,0.7545,0.0243,0.9139,0.008
tic_tac_toe_negative_69_variant1,TicTacToe-69,27,0.6901,,0.7660166666666667,0.0202152616192156,0.6257041873099659,0.0279231295720166,0.99882,,0.706935,0.037161,0.7385,0.0416,0.8154,0.0099,0.981,0.0177
tic_tac_toe_negative_12_variant1,TicTacToe-12,27,0.8982,,0.8114573333333333,0.1113971717429726,0.7496450124245652,0.0434260778614725,1.0,,0.937788,0.004229,0.694,0.0673,0.8234,0.0091,0.9901,0.003
wpbc_variant1,WPBC,33,0.4936,,0.6311113333333332,0.0079953451666162,0.5321985815602837,0.0037097012285452,0.55629,,0.470355,0.015762,0.5636,0.0394,0.4778,0.0704,0.6529,0.0899
ionosphere_b_24_variant1,Ionosphere,35,0.9991,,0.953786,0.0173001112424168,0.9995083579154376,0.0008515490696012,1.0,,1.0,0.0,0.9998,0.0004,1.0,0.0,1.0,0.0
zoo_variant1,Zoo,36,0.4573,,0.883053,0.0092637202570026,0.939309056956116,0.0641256762715434,0.93417,,0.841737,0.047226,0.9594,0.04,0.9678,0.0498,0.9687,0.0202
sick_sick_72_variant1,Sick-72,53,0.7602,,0.8153716666666666,0.0092873015636046,0.7737206432858607,0.0378379117408316,0.83272,,0.8455,0.048746,0.5823,0.1739,0.8183,0.0031,0.8276,0.0156
autos_variant1,Autos,54,0.6247,,0.7222963333333333,0.0348944168791131,0.678962962962963,0.0476558305908145,0.62267,,0.803852,0.021004,0.725,0.0833,0.7067,0.0492,0.8224,0.019
annealing_variant1,Annealing,56,0.7835,,0.7350720000000001,0.0091384857060675,0.7945326278659612,0.0436542019678509,0.75898,,0.841753,0.017684,0.758,0.0622,0.8426,0.0163,0.8774,0.0084
lymphography,Lympho.,59,0.9883,,0.744914,0.0169818184833073,0.9311424100156496,0.037140670692663,0.99765,,0.995305,0.006211,0.9468,0.021,0.9757,0.0075,0.9992,0.0014
bands_band_6_variant1,Bands-6,62,0.8221,,0.6773503333333334,0.0117525000035453,0.9355413105413106,0.0473151102001207,0.90919,,0.940883,0.025199,0.7888,0.0331,0.9526,0.021,0.9138,0.0444
audiology_variant1,Audiology,154,0.8312,,0.887341,0.0199037262591706,0.9700034399724804,0.0090447075467929,0.90283,,0.830685,0.079319,0.6813,0.0386,0.8191,0.0736,0.9817,0.0083
