kernel_cfg,n_kernels,latent_dim,auc_linear,nu_linear,auc_rbf,nu_rbf,time_s
Gauss-5-med,5,2,0.722727,0.01,0.756364,0.01,13.65
Gauss-5-med,5,4,0.404545,0.2,0.55,0.01,5.58
Gauss-5-med,5,8,0.553636,0.01,0.585455,0.05,7.24
Gauss-5-med,5,16,0.415455,0.2,0.446364,0.05,6.35
Gauss-5-med,5,32,0.427273,0.2,0.552727,0.05,6.08
Hetero-5,5,2,0.701818,0.01,0.437273,0.2,4.52
Hetero-5,5,4,0.59,0.2,0.441818,0.2,4.47
Hetero-5,5,8,0.651818,0.05,0.535455,0.05,4.65
Hetero-5,5,16,0.573636,0.2,0.433636,0.2,4.27
Hetero-5,5,32,0.607273,0.2,0.696364,0.01,5.16
Hetero-3,3,2,0.681818,0.1,0.269091,0.05,1.98
Hetero-3,3,4,0.580909,0.01,0.607273,0.01,2.01
Hetero-3,3,8,0.803636,0.01,0.539091,0.01,1.81
Hetero-3,3,16,0.786364,0.05,0.692727,0.01,1.64
Hetero-3,3,32,0.5,0.2,0.642727,0.2,2.76
Poly-5,5,2,0.815455,0.01,0.557273,0.2,4.61
Poly-5,5,4,0.503636,0.2,0.64,0.2,4.29
Poly-5,5,8,0.472727,0.2,0.685455,0.1,3.94
Poly-5,5,16,0.565455,0.2,0.642727,0.01,3.94
Poly-5,5,32,0.551818,0.2,0.64,0.01,3.92
GaussCauchy-5,5,2,0.442727,0.2,0.246364,0.1,5.55
GaussCauchy-5,5,4,0.695455,0.01,0.720909,0.05,6.15
GaussCauchy-5,5,8,0.739091,0.05,0.605455,0.1,5.78
GaussCauchy-5,5,16,0.414545,0.2,0.672727,0.1,5.64
GaussCauchy-5,5,32,0.497273,0.2,0.585455,0.2,5.74
