dataset,latent_dim,lambda_scatter,auc,best_nu,elapsed_s
cardio,32,0.0,0.89382,0.1,117.07
cardio,32,0.1,0.919912,0.05,115.33
cardio,32,1.0,0.954947,0.01,84.18
cardio,32,10.0,0.978776,0.01,85.8
cardio,32,100.0,0.880349,0.2,99.0
cardio,32,1000.0,0.839337,0.2,92.41
cardiotocography_2and3_33_variant1,32,0.0,0.851781,0.01,106.88
cardiotocography_2and3_33_variant1,32,0.1,0.843083,0.01,101.98
cardiotocography_2and3_33_variant1,32,1.0,0.879008,0.01,82.87
cardiotocography_2and3_33_variant1,32,10.0,0.903287,0.01,85.09
cardiotocography_2and3_33_variant1,32,100.0,0.836968,0.05,99.01
cardiotocography_2and3_33_variant1,32,1000.0,0.676664,0.01,132.69
diabetes_tested_positive_26_variant1,32,0.0,0.556462,0.01,32.33
diabetes_tested_positive_26_variant1,32,0.1,0.538615,0.2,30.92
diabetes_tested_positive_26_variant1,32,1.0,0.503615,0.2,25.69
diabetes_tested_positive_26_variant1,32,10.0,0.746769,0.01,27.29
diabetes_tested_positive_26_variant1,32,100.0,0.623692,0.2,26.49
diabetes_tested_positive_26_variant1,32,1000.0,0.615,0.2,26.43
ionosphere_b_24_variant1,32,0.0,0.697037,0.01,5.95
ionosphere_b_24_variant1,32,0.1,0.777963,0.01,5.04
ionosphere_b_24_variant1,32,1.0,0.878519,0.1,4.87
ionosphere_b_24_variant1,32,10.0,1.0,0.01,4.88
ionosphere_b_24_variant1,32,100.0,1.0,0.01,4.86
ionosphere_b_24_variant1,32,1000.0,1.0,0.01,4.92
pageblocks_1_258_variant1,32,0.0,0.815776,0.01,356.8
pageblocks_1_258_variant1,32,0.1,0.794445,0.01,291.82
pageblocks_1_258_variant1,32,1.0,0.873759,0.05,294.03
pageblocks_1_258_variant1,32,10.0,0.970594,0.2,250.83
pageblocks_1_258_variant1,32,100.0,0.97159,0.2,256.26
pageblocks_1_258_variant1,32,1000.0,0.983511,0.2,261.31
pima_TRUE_55_variant1,32,0.0,0.626873,0.01,30.45
pima_TRUE_55_variant1,32,0.1,0.599055,0.2,31.05
pima_TRUE_55_variant1,32,1.0,0.566655,0.2,25.79
pima_TRUE_55_variant1,32,10.0,0.726873,0.01,26.57
pima_TRUE_55_variant1,32,100.0,0.693309,0.2,26.76
pima_TRUE_55_variant1,32,1000.0,0.674073,0.2,26.56
sonar_M_10_variant1,32,0.0,0.690722,0.1,2.88
sonar_M_10_variant1,32,0.1,0.735052,0.2,2.74
sonar_M_10_variant1,32,1.0,0.795876,0.2,2.73
sonar_M_10_variant1,32,10.0,1.0,0.01,2.67
sonar_M_10_variant1,32,100.0,1.0,0.01,2.73
sonar_M_10_variant1,32,1000.0,1.0,0.01,2.73
spambase_spam_56_variant1,32,0.0,0.533908,0.2,164.61
spambase_spam_56_variant1,32,0.1,0.620081,0.2,160.41
spambase_spam_56_variant1,32,1.0,0.53695,0.2,170.69
spambase_spam_56_variant1,32,10.0,0.62026,0.2,151.28
spambase_spam_56_variant1,32,100.0,0.6281,0.2,146.77
spambase_spam_56_variant1,32,1000.0,0.671853,0.01,147.11
thyroid_disease_variant1,32,0.0,0.640484,0.01,496.33
thyroid_disease_variant1,32,0.1,0.665823,0.01,483.28
thyroid_disease_variant1,32,1.0,0.582171,0.1,476.65
thyroid_disease_variant1,32,10.0,0.520864,0.01,481.1
thyroid_disease_variant1,32,100.0,0.537068,0.01,477.99
thyroid_disease_variant1,32,1000.0,0.563251,0.01,471.88
waveform_0_100_variant1,32,0.0,0.563276,0.01,208.58
waveform_0_100_variant1,32,0.1,0.487703,0.01,199.09
waveform_0_100_variant1,32,1.0,0.741576,0.01,168.86
waveform_0_100_variant1,32,10.0,0.629575,0.01,171.11
waveform_0_100_variant1,32,100.0,0.493993,0.1,188.23
waveform_0_100_variant1,32,1000.0,0.523503,0.2,188.24
wbc_malignant_39_variant1,32,0.0,0.495611,0.2,21.89
wbc_malignant_39_variant1,32,0.1,0.480827,0.2,22.18
wbc_malignant_39_variant1,32,1.0,0.470778,0.2,22.83
wbc_malignant_39_variant1,32,10.0,0.351698,0.2,20.86
wbc_malignant_39_variant1,32,100.0,0.393105,0.2,20.86
wbc_malignant_39_variant1,32,1000.0,0.568723,0.2,20.79
wdbc_M_39_variant1,32,0.0,0.787115,0.2,14.13
wdbc_M_39_variant1,32,0.1,0.798966,0.1,14.71
wdbc_M_39_variant1,32,1.0,0.819723,0.1,11.31
wdbc_M_39_variant1,32,10.0,0.892839,0.01,12.15
wdbc_M_39_variant1,32,100.0,0.924298,0.2,11.92
wdbc_M_39_variant1,32,1000.0,0.924729,0.2,13.31
wpbc_variant1,32,0.0,0.537128,0.2,4.19
wpbc_variant1,32,0.1,0.513738,0.1,3.69
wpbc_variant1,32,1.0,0.502607,0.2,3.41
wpbc_variant1,32,10.0,0.532619,0.1,3.37
wpbc_variant1,32,100.0,0.584613,0.01,3.42
wpbc_variant1,32,1000.0,0.578554,0.01,3.39
yeast_ERL_5_variant1,32,0.0,0.981514,0.01,64.87
yeast_ERL_5_variant1,32,0.1,0.996127,0.1,65.16
yeast_ERL_5_variant1,32,1.0,0.982218,0.01,63.61
yeast_ERL_5_variant1,32,10.0,0.993134,0.01,56.68
yeast_ERL_5_variant1,32,100.0,0.99507,0.01,59.43
yeast_ERL_5_variant1,32,1000.0,0.713556,0.1,58.52
