dataset,N,D,anomaly,best_dim,best_lambda,best_auc,nu_dir,nu_mag,elapsed_s
abalone_variant1,4177,10,0.0189,128,1.0,0.736676,0.2,0.2,616.4
annealing_variant1,798,56,0.0526,128,1.0,0.82757,0.05,0.01,124.8
annthyroid,7200,6,0.0742,16,0.0,0.735126,0.2,0.05,1079.3
arrhythmia_variant1,452,345,0.146,32,1000.0,0.765701,0.2,0.2,66.0
audiology_variant1,226,154,0.2522,64,10.0,0.870549,0.01,0.2,68.3
autos_variant1,205,54,0.122,32,10.0,0.729333,0.01,0.2,65.1
bands_band_16_variant1,328,62,0.0488,64,10.0,0.777043,0.2,0.1,63.3
bands_band_27_variant1,339,62,0.0796,256,10.0,0.702873,0.01,0.2,62.6
bands_band_34_variant1,346,62,0.0983,256,0.1,0.674962,0.01,0.05,64.6
bands_band_42_variant1,354,62,0.1186,16,10.0,0.689026,0.2,0.2,65.3
bands_band_6_variant1,318,62,0.0189,32,10.0,0.925214,0.2,0.01,65.2
breast_cancer_variant1,286,41,0.2972,128,10.0,0.66535,0.01,0.2,63.0
cardio,1831,21,0.0961,16,0.1,0.904727,0.01,0.2,259.4
cardiotocography_2and3_33_variant1,1688,22,0.0195,32,100.0,0.858171,0.05,0.1,254.9
chess_nowin_145_variant1,1814,72,0.0799,16,10.0,0.788761,0.05,0.2,257.9
chess_nowin_16_variant1,1685,70,0.0095,128,10.0,0.943454,0.2,0.2,256.0
chess_nowin_185_variant1,1854,72,0.0998,128,10.0,0.85557,0.2,0.01,258.0
chess_nowin_227_variant1,1896,71,0.1197,32,10.0,0.728775,0.05,0.01,255.0
chess_nowin_34_variant1,1703,72,0.02,32,10.0,0.92447,0.2,0.2,257.3
chess_nowin_87_variant1,1756,73,0.0495,64,10.0,0.831973,0.2,0.2,258.0
creditA_plus_42_variant1,425,46,0.0988,32,10.0,0.815678,0.1,0.2,64.5
diabetes_tested_positive_26_variant1,526,8,0.0494,16,1000.0,0.868692,0.2,0.2,123.8
ecoli,336,9,0.0268,64,0.1,0.894326,0.2,0.1,64.6
german_1_14_variant1,714,62,0.0196,64,10.0,0.872653,0.2,0.1,131.2
glass,214,9,0.0421,32,100.0,0.814092,0.05,0.05,53.5
heart270_2_16_variant1,166,25,0.0964,128,0.0,0.93625,0.1,0.2,62.9
hepatitis_2_9_variant1,94,32,0.0957,256,10.0,0.934641,0.01,0.2,64.3
horse_1_12_variant1,256,76,0.0469,256,100.0,0.744194,0.01,0.1,65.5
ionosphere_b_24_variant1,249,35,0.0964,256,100.0,0.994259,0.01,0.2,66.5
iris_Irisvirginica_11_variant1,111,4,0.0991,128,10.0,0.799091,0.01,0.2,52.0
letter,1600,32,0.0625,64,100.0,0.781973,0.2,0.05,256.6
lymphography,148,59,0.0405,64,1.0,0.9777,0.1,0.2,69.6
mnist,7603,104,0.0921,32,100.0,0.693741,0.01,0.2,1117.4
monks_0_12_variant1,240,17,0.05,256,10.0,0.996345,0.2,0.2,65.7
monks_0_25_variant1,253,17,0.0988,128,1000.0,0.974386,0.2,0.2,70.2
monks_0_4_variant1,232,17,0.0172,128,10.0,1.0,0.05,0.1,72.5
mushroom_p_221_variant1,4429,111,0.0499,128,10.0,0.929915,0.01,0.2,680.4
mushroom_p_365_variant1,4573,115,0.0798,128,10.0,0.884657,0.1,0.2,663.4
mushroom_p_467_variant1,4675,114,0.0999,128,100.0,0.814727,0.2,0.2,733.9
mushroom_p_573_variant1,4781,115,0.1198,32,10.0,0.808016,0.2,0.2,742.2
mushroom_p_85_variant1,4293,107,0.0198,128,100.0,0.945174,0.01,0.2,673.5
musk,3062,166,0.0317,64,10.0,0.991047,0.05,0.2,414.6
nhanes_age_364,2278,12,0.1598,64,1000.0,0.831361,0.01,0.01,345.1
optdigits,5216,67,0.0288,16,0.0,0.766213,0.2,0.05,804.3
pageblocks_1_258_variant1,5171,10,0.0499,64,1000.0,0.935607,0.2,0.2,788.2
pendigits,6870,16,0.0227,16,1000.0,0.831086,0.01,0.2,1082.7
pima_TRUE_55_variant1,555,9,0.0991,16,1000.0,0.811782,0.01,0.2,131.5
psdas_dropout_1421,4424,161,0.3212,64,100.0,0.737837,0.1,0.2,657.5
satellite,6435,36,0.3164,16,100.0,0.700665,0.1,0.2,981.4
satimage2,5803,36,0.0122,32,1.0,0.98391,0.01,0.2,879.5
sick_sick_35_variant1,3576,53,0.0098,128,100.0,0.876217,0.01,0.05,494.5
sick_sick_72_variant1,3613,53,0.0199,256,1.0,0.856714,0.01,0.05,565.7
sonar_M_10_variant1,107,60,0.0935,32,0.0,0.847423,0.1,0.2,64.9
spambase_spam_56_variant1,2844,58,0.0197,16,1.0,0.729991,0.2,0.01,422.5
speech,3686,400,0.0165,16,0.0,0.497687,0.01,0.01,570.6
thyroid,3772,6,0.0247,16,0.0,0.957816,0.2,0.01,559.4
tic_tac_toe_negative_12_variant1,638,27,0.0188,256,1000.0,0.996938,0.05,0.2,136.4
tic_tac_toe_negative_26_variant1,652,27,0.0399,256,100.0,0.999324,0.1,0.1,131.7
tic_tac_toe_negative_32_variant1,658,27,0.0486,256,100.0,0.997604,0.2,0.2,139.7
tic_tac_toe_negative_54_variant1,680,27,0.0794,256,0.0,0.995237,0.01,0.01,131.9
tic_tac_toe_negative_69_variant1,695,27,0.0993,32,0.0,0.971663,0.01,0.05,132.3
vertebral,240,6,0.125,32,100.0,0.745079,0.01,0.1,54.3
vote_republican_29_variant1,296,32,0.098,64,1000.0,0.926127,0.2,0.01,69.0
vowels,1456,12,0.0343,32,1000.0,0.950697,0.2,0.2,198.9
waveform_0_100_variant1,3443,21,0.029,256,1.0,0.753838,0.01,0.2,492.6
wbc_malignant_39_variant1,483,9,0.0807,16,1000.0,0.980538,0.2,0.2,64.3
wdbc_M_39_variant1,396,31,0.0985,16,1.0,0.871364,0.01,0.2,65.2
wine,129,13,0.0775,16,0.0,0.713445,0.2,0.01,53.7
wpbc_variant1,198,33,0.2374,256,0.0,0.567282,0.2,0.05,65.9
yeast_ERL_5_variant1,1141,9,0.0044,64,0.1,0.99912,0.1,0.05,205.0
zoo_variant1,101,36,0.1683,128,1000.0,0.873249,0.05,0.2,66.7
