dataset,raw_rbf,kernel_emblin,kernel_embmk,kernel_fused,cos0.07_emblin,cos0.07_embmk,cos0.07_fused,cos0.1_emblin,cos0.1_embmk,cos0.1_fused,cos0.2_emblin,cos0.2_embmk,cos0.2_fused
vertebral,0.6359,0.8289,0.7581,0.7921,0.7308,0.7733,0.674,0.7781,0.7737,0.7019,0.846,0.7705,0.8441
thyroid,0.9594,0.9707,0.9604,0.938,0.7761,0.8508,0.82,0.7647,0.8725,0.8153,0.7485,0.8958,0.8206
wbc,0.9969,0.3951,0.369,0.9842,0.4258,0.3108,0.9842,0.3936,0.318,0.9842,0.3957,0.3344,0.9842
glass,0.5167,0.9094,0.7238,0.6138,0.8932,0.6721,0.4239,0.8921,0.6785,0.4164,0.8997,0.6451,0.4477
ecoli,0.8739,0.8868,0.8848,0.8855,0.8739,0.8828,0.8085,0.8753,0.8834,0.79,0.8834,0.8841,0.7989
wine,0.8373,0.7508,0.739,0.8797,0.7373,0.7559,0.9203,0.7424,0.7593,0.9186,0.7373,0.7492,0.9169
cardio,0.9557,0.8702,0.8763,0.7935,0.8576,0.8636,0.7719,0.8577,0.8642,0.7921,0.8627,0.8691,0.8093
cardiotoco,0.8958,0.6877,0.6944,0.8508,0.6764,0.695,0.7929,0.6744,0.6878,0.8114,0.6821,0.6847,0.8058
tictactoe12,0.9979,0.9941,1.0,0.9326,0.9896,0.9965,0.7961,0.9952,0.9984,0.8352,0.9984,0.9989,0.9023
tictactoe69,0.9915,0.9674,0.9949,0.7351,0.9357,0.9754,0.6372,0.9521,0.9829,0.6542,0.9708,0.9894,0.7001
wpbc,0.5251,0.5438,0.5421,0.4945,0.5538,0.5404,0.5694,0.5557,0.5467,0.4894,0.5583,0.5529,0.4942
ionosphere,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
zoo,0.7493,0.9664,0.9608,0.965,0.9734,0.9622,0.9776,0.9748,0.9622,0.9776,0.9748,0.9608,0.979
sick,0.8428,0.8262,0.8404,0.7363,0.8175,0.8054,0.5423,0.8274,0.8073,0.5405,0.8365,0.8098,0.5162
autos,0.4502,0.8116,0.7751,0.7529,0.7858,0.7516,0.7324,0.7956,0.7471,0.736,0.8009,0.7707,0.7449
annealing,0.814,0.8924,0.9279,0.7646,0.8723,0.906,0.8183,0.8772,0.9077,0.7349,0.8899,0.9172,0.7341
lymphography,1.0,0.9883,0.993,1.0,0.9883,0.9883,1.0,0.9883,0.9883,1.0,0.9883,0.993,1.0
bands6,0.9551,0.9562,0.9562,0.6955,0.9594,0.9562,0.9199,0.953,0.9551,0.9188,0.953,0.9583,0.9231
audiology,0.9523,0.9765,0.973,0.9666,0.9787,0.974,0.9748,0.9771,0.9723,0.9765,0.9748,0.9699,0.9647
