dataset,N,D,raw_rbf,"orig(raw,t1)_embmk","orig(raw,t1)_emblin","orig(raw,t1)_fused","temp(raw,t.2)_embmk","temp(raw,t.2)_emblin","temp(raw,t.2)_fused","bw(emb,t1)_embmk","bw(emb,t1)_emblin","bw(emb,t1)_fused","both(emb,t.2)_embmk","both(emb,t.2)_emblin","both(emb,t.2)_fused"
vertebral,240,6,0.6359,0.7581,0.8321,0.7946,0.7771,0.7203,0.6927,0.7571,0.8235,0.793,0.7683,0.6721,0.6952
thyroid,3772,6,0.9594,0.9604,0.9707,0.938,0.9819,0.9815,0.9475,0.9711,0.9671,0.9346,0.9851,0.9843,0.9717
wbc_malignant_39_variant1,483,9,0.9969,0.369,0.3951,0.9842,0.3067,0.3781,0.9842,0.5024,0.5542,0.9842,0.2946,0.3887,0.9842
glass,214,9,0.5167,0.7238,0.9094,0.6138,0.5912,0.7886,0.6041,0.7238,0.9137,0.6192,0.617,0.8296,0.5631
ecoli,336,9,0.8739,0.8848,0.8868,0.8855,0.9039,0.9121,0.8562,0.8773,0.865,0.9134,0.895,0.8923,0.8316
wine,129,13,0.8373,0.739,0.7508,0.8797,0.6915,0.6678,0.8508,0.7373,0.7525,0.878,0.6407,0.6407,0.8492
cardio,1831,21,0.9557,0.8763,0.8703,0.7935,0.9544,0.9434,0.8222,0.9042,0.8879,0.7956,0.9599,0.9536,0.8536
cardiotocography_2and3_33_variant1,1688,22,0.8958,0.6944,0.6877,0.8508,0.9177,0.9057,0.8691,0.7589,0.737,0.8495,0.9191,0.9117,0.8979
tic_tac_toe_negative_12_variant1,638,27,0.9979,1.0,0.9941,0.9326,0.9992,0.9909,0.9247,0.9973,0.9901,0.9273,0.9441,0.9518,0.9002
tic_tac_toe_negative_69_variant1,695,27,0.9915,0.9949,0.9674,0.7351,0.991,0.9569,0.7162,0.9814,0.949,0.7188,0.8994,0.8674,0.686
wpbc_variant1,198,33,0.5251,0.5421,0.5427,0.4948,0.5447,0.5563,0.5092,0.5427,0.5433,0.4945,0.5521,0.5702,0.5214
ionosphere_b_24_variant1,249,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
zoo_variant1,101,36,0.7493,0.9608,0.9664,0.965,0.9608,0.9664,0.965,0.9608,0.9664,0.965,0.9552,0.9566,0.9664
sick_sick_72_variant1,3613,53,0.8428,0.8404,0.8262,0.7363,0.7975,0.7901,0.706,0.8514,0.8432,0.8398,0.8519,0.8505,0.8391
autos_variant1,205,54,0.4502,0.7751,0.8116,0.7529,0.7778,0.8071,0.7382,0.7756,0.8116,0.7511,0.752,0.7596,0.7773
annealing_variant1,798,56,0.814,0.9279,0.8932,0.7652,0.915,0.8898,0.8551,0.9047,0.8886,0.8268,0.8119,0.7841,0.7775
lymphography,148,59,1.0,0.993,0.9883,1.0,0.993,0.9883,1.0,0.993,0.9883,1.0,0.9953,0.9953,1.0
bands_band_6_variant1,318,62,0.9551,0.9562,0.9562,0.6955,0.9541,0.9562,0.7404,0.953,0.9573,0.7083,0.9626,0.9391,0.8462
audiology_variant1,226,154,0.9523,0.973,0.9765,0.9666,0.9709,0.9787,0.9771,0.9703,0.9763,0.9748,0.8097,0.7839,0.7961
